#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         358     -5.6384    -5.56886  0.00974507
         359    -5.65399    -5.56909  0.00972081
         360    -5.53028    -5.56898  0.00969441
         361    -5.47075    -5.56871  0.00967137
         362    -5.45417     -5.5684  0.00964983
         363    -5.56792    -5.56839  0.00962325
         364    -5.63467    -5.56858  0.00959853
         365    -5.51222    -5.56842  0.00957348
         366    -5.54643    -5.56836  0.00954751
         367    -5.57655    -5.56838  0.00952152
         368    -5.55864    -5.56836  0.00949568
         369    -5.52433    -5.56824   0.0094707
         370    -5.49653    -5.56805  0.00944708
         371    -5.53485    -5.56796  0.00942204
         372    -5.59214    -5.56802  0.00939694
         373    -5.57874    -5.56805  0.00937179
         374    -5.57021    -5.56806  0.00934673
         375    -5.49576    -5.56786   0.0093238
         376    -5.53401    -5.56777  0.00929944
         377    -5.49045    -5.56757  0.00927703
         378    -5.54882    -5.56752  0.00925262
         379    -5.45446    -5.56722  0.00923301
         380    -5.50557    -5.56706  0.00921014
         381     -5.4989    -5.56688  0.00918771
         382    -5.36173    -5.56634  0.00917934
         383    -5.39471    -5.56589   0.0091663
         384    -5.51038    -5.56575  0.00914357
         385    -5.44681    -5.56544  0.00912504
         386    -5.42196    -5.56507  0.00910897
         387    -5.42852    -5.56472  0.00909226
         388    -5.43915    -5.56439  0.00907458
         389    -5.50552    -5.56424  0.00905252
         390    -5.47227      -5.564  0.00903238
         391    -5.43464    -5.56367  0.00901533
         392    -5.44893    -5.56338  0.00899709
         393    -5.52294    -5.56328  0.00897478
         394    -5.48187    -5.56307  0.00895438
         395    -5.46016    -5.56281   0.0089355
         396    -5.50747    -5.56267  0.00891403
         397    -5.53499     -5.5626  0.00889185
         398     -5.5194    -5.56249  0.00887017
         399    -5.45737    -5.56223  0.00885185
         400    -5.52148    -5.56213  0.00883031
         401    -5.60173    -5.56223  0.00880884
         402    -5.58829    -5.56229  0.00878717
         403    -5.54797    -5.56226  0.00876543
         404    -5.50701    -5.56212   0.0087448
         405    -5.60147    -5.56222  0.00872375
         406     -5.6568    -5.56245  0.00870537
         407    -5.64927    -5.56266   0.0086866
         408    -5.56027    -5.56266  0.00866531
         409    -5.47036    -5.56243  0.00864706
         410    -5.60043    -5.56252  0.00862647
         411    -5.52787    -5.56244  0.00860589
         412    -5.38633    -5.56201  0.00859561
         413    -5.51721     -5.5619  0.00857548
         414    -5.48182    -5.56171  0.00855695
         415     -5.5358    -5.56165  0.00853656
         416    -5.49188    -5.56148  0.00851769
         417    -5.51623    -5.56137  0.00849795
         418    -5.53482    -5.56131  0.00847786
         419     -5.5557    -5.56129  0.00845763
         420    -5.51336    -5.56118  0.00843827
         421    -5.41299    -5.56083  0.00842556
         422    -5.36145    -5.56036  0.00841883
         423     -5.4242    -5.56003  0.00840508
         424    -5.44014    -5.55975  0.00839001
         425     -5.3302    -5.55921  0.00838764
         426    -5.38985    -5.55881  0.00837737
         427    -5.41257    -5.55847  0.00836475
         428    -5.47846    -5.55828  0.00834729
         429    -5.44388    -5.55802  0.00833209
         430    -5.45531    -5.55778  0.00831614
         431    -5.60102    -5.55788  0.00829745
         432    -5.53082    -5.55782  0.00827848
         433    -5.54923     -5.5578  0.00825938
         434    -5.58927    -5.55787  0.00824067
         435    -5.52395    -5.55779  0.00822209
         436    -5.49129    -5.55764  0.00820465
         437    -5.45563     -5.5574   0.0081892
         438    -5.40995    -5.55707  0.00817742
         439      -5.408    -5.55673  0.00816583
         440    -5.44769    -5.55648  0.00815104
         441    -5.42318    -5.55618  0.00813815
         442    -5.45247    -5.55594  0.00812312
         443    -5.48602    -5.55579  0.00810632
         444    -5.61796    -5.55593  0.00808927
         445    -5.45375     -5.5557  0.00807435
         446    -5.49749    -5.55557   0.0080573
         447    -5.39131     -5.5552  0.00804765
         448    -5.42188     -5.5549  0.00803519
         449    -5.48438    -5.55474  0.00801883
         450    -5.43805    -5.55448   0.0080052
         451    -5.39421    -5.55413  0.00799534
         452    -5.38778    -5.55376  0.00798611
         453    -5.41767    -5.55346  0.00797413
         454    -5.39625    -5.55311  0.00796408
         455    -5.42906    -5.55284  0.00795124
         456    -5.49926    -5.55272  0.00793468
         457    -5.45408    -5.55251  0.00792025
