T:    MU:       SIGMA:     ENERGY:      EN_ERR:    MEAN_ACCEPTANCE:   BEST_ENERGY:
0.299283    0.771828    0.898339   -0.149694   0.0222103     0.75896   -0.438123
0.29629    0.637325    0.836993   -0.296663   0.0100206     0.72024   -0.438123
0.293327    0.493111    0.840423   -0.277742   0.0068981     0.68102   -0.438123
0.290394    0.636394    0.837475   -0.298981   0.0103557     0.71848   -0.438123
0.28749     0.72039    0.888095   -0.242096   0.0159577     0.74904   -0.438123
0.284615     0.63131     0.83921    -0.29717   0.0118023     0.71536   -0.438123
0.281769    0.763869    0.778467   -0.344759   0.0102349     0.76008   -0.438123
0.278951    0.797099    0.714443   -0.384002   0.0108527     0.77438   -0.438123
0.276162    0.797099    0.714443   -0.384002   0.0108527     0.77438   -0.438123
0.2734    0.859508    0.764011   -0.267273    0.017643     0.79034   -0.438123
0.270666    0.962294    0.732619   -0.198227   0.0165525      0.7549   -0.438123
0.267959     1.00137    0.764861  -0.0730448   0.0206764     0.77078   -0.438123
0.26528     1.02795    0.754395 -0.00258748   0.0271332     0.75132   -0.438123
0.262627     1.02795    0.754395 -0.00258748   0.0271332     0.75132   -0.438123
0.260001    0.989202     0.81665    0.046554   0.0233132      0.7979   -0.438123
0.257401     1.11601    0.832334    0.513307   0.0543937      0.7766   -0.438123
0.254827     1.13747    0.893602    0.871355   0.0796857     0.80044   -0.438123
0.252278     1.03721    0.947191    0.555559   0.0519953     0.82674   -0.438123
0.249756     1.03721    0.947191    0.555559   0.0519953     0.82674   -0.438123
0.247258     1.03721    0.947191    0.555559   0.0519953     0.82674   -0.438123
0.244785     1.03721    0.947191    0.555559   0.0519953     0.82674   -0.438123
0.242338     0.99172    0.926897    0.418214   0.0479393     0.81872   -0.438123
0.239914    0.937084    0.876923   0.0868655   0.0315928      0.8054   -0.438123
0.237515    0.899316    0.841171   -0.115502   0.0216265      0.8034   -0.438123
0.23514    0.980471    0.792122 -0.00608591   0.0258325      0.7871   -0.438123
0.232789     1.03739    0.738131  -0.0282547   0.0207822     0.73428   -0.438123
0.230461     1.04545    0.715914  -0.0468582   0.0189599     0.71364   -0.438123
0.228156    0.964905    0.720496   -0.227304   0.0175096        0.75   -0.438123
0.225875      0.9758    0.676831   -0.269933   0.0126361      0.7083   -0.438123
0.223616     1.01838    0.640338   -0.228211    0.012673     0.65758   -0.438123
0.22138    0.950051    0.621716   -0.341125   0.0069114     0.67002   -0.438123
0.219166    0.958086    0.567078   -0.326899  0.00573618     0.60356   -0.438123
0.216974      1.0403    0.603049   -0.203432   0.0094819     0.60638   -0.438123
0.214804     1.11354    0.621572 -0.00604837   0.0151576     0.60368   -0.438123
0.212656     1.11354    0.621572 -0.00604837   0.0151576     0.60368   -0.438123
0.21053     1.05297    0.607211   -0.185942   0.0105147     0.60422   -0.438123
0.208425    0.958121     0.58786    -0.34174  0.00621452     0.62696   -0.438123
0.20634    0.918042    0.562664   -0.356184  0.00447738     0.61662   -0.438123
0.204277    0.918042    0.562664   -0.356184  0.00447738     0.61662   -0.438123
0.202234    0.830435    0.575654   -0.423505  0.00385245     0.67816   -0.438123
0.200212    0.778494    0.559738   -0.412813  0.00432412      0.6908   -0.438123
0.19821    0.792953    0.599239   -0.442626  0.00259738      0.7207   -0.442626
0.196228    0.859202     0.58913   -0.427607  0.00415196     0.67946   -0.442626
0.194265    0.773208    0.602066   -0.436813  0.00491918      0.7294   -0.442626
0.192323    0.819881    0.627569   -0.444351  0.00289237     0.72766   -0.444351
0.190399    0.877607    0.604532   -0.412595  0.00451788     0.68484   -0.444351
0.188495    0.876549    0.629015   -0.418305  0.00596311     0.71184   -0.444351
0.18661     0.87764    0.609796   -0.424683   0.0045834      0.6926   -0.444351
0.184744    0.935816    0.566228   -0.347794  0.00490422      0.6134   -0.444351
0.182897    0.882978    0.605558   -0.420242  0.00414252     0.68876   -0.444351
0.181068    0.928633    0.637732   -0.379516  0.00890509     0.69538   -0.444351
0.179257    0.928633    0.637732   -0.379516  0.00890509     0.69538   -0.444351
0.177465    0.981478    0.636284   -0.282944   0.0108499     0.66396   -0.444351
0.17569    0.928086    0.633827   -0.380257  0.00686172     0.68678   -0.444351
0.173933      1.0133      0.6385   -0.246672  0.00982785     0.65668   -0.444351
0.172194     1.03732    0.651978   -0.179797   0.0147276     0.65692   -0.444351
0.170472     1.03732    0.651978   -0.179797   0.0147276     0.65692   -0.444351
0.168767    0.964299    0.681008   -0.300428   0.0133603      0.7215   -0.444351
0.167079    0.964299    0.681008   -0.300428   0.0133603      0.7215   -0.444351
0.165409    0.883734     0.65842   -0.397853    0.007342     0.72988   -0.444351
0.163755    0.920668    0.633118   -0.387991  0.00650933     0.69876   -0.444351
0.162117    0.878208    0.601783   -0.421764  0.00360475     0.68036   -0.444351
0.160496    0.851106    0.613678   -0.432413  0.00349255     0.70822   -0.444351
0.158891    0.818749    0.602897   -0.446039   0.0025833     0.71268   -0.446039
0.157302    0.846309     0.62469   -0.439057  0.00439827     0.72044   -0.446039
0.155729    0.805361    0.625459   -0.441089  0.00366245      0.7404   -0.446039
0.154172    0.782692    0.655086   -0.429384  0.00509572       0.755   -0.446039
0.15263    0.782692    0.655086   -0.429384  0.00509572       0.755   -0.446039
0.151104    0.827619    0.651892   -0.430933  0.00555905     0.74938   -0.446039
0.149593    0.796922    0.628542   -0.443967  0.00336144     0.74112   -0.446039
0.148097    0.759559    0.641585   -0.429441  0.00474366     0.75402   -0.446039
0.146616    0.753133    0.663968   -0.426723  0.00531511     0.75716   -0.446039
0.14515    0.684923     0.64828   -0.401463  0.00370045     0.73988   -0.446039
0.143698    0.713614    0.634958   -0.420141  0.00405197     0.74536   -0.446039
0.142261    0.682382    0.650665    -0.39776  0.00358294     0.73776   -0.446039
0.140838    0.624502    0.670416    -0.34744   0.0049031      0.7077   -0.446039
0.13943    0.624502    0.670416    -0.34744   0.0049031      0.7077   -0.446039
0.138036    0.667887    0.687967   -0.375553  0.00457141       0.729   -0.446039
0.136655    0.665289    0.660985   -0.384192  0.00369838     0.73054   -0.446039
0.135289     0.67767    0.632777   -0.387326  0.00515846     0.73922   -0.446039
0.133936    0.669923    0.634384   -0.383211  0.00454729     0.73212   -0.446039
0.132597    0.609233    0.651943   -0.333492  0.00467436     0.69996   -0.446039
0.131271    0.590266    0.629741    -0.30423  0.00426164     0.69336   -0.446039
0.129958    0.538789    0.647513   -0.248711  0.00560902     0.66498   -0.446039
0.128658    0.518095    0.648311   -0.226402  0.00554397     0.65832   -0.446039
0.127372    0.513397    0.639977   -0.240597  0.00523736     0.65548   -0.446039
0.126098    0.497309    0.662573   -0.208632  0.00589379     0.65096   -0.446039
0.124837    0.553498    0.669311   -0.287872  0.00523944     0.67264   -0.446039
0.123589    0.560595     0.65038   -0.281212  0.00453322     0.67868   -0.446039
0.122353    0.576518     0.63248   -0.304854  0.00582569      0.6813   -0.446039
0.121129    0.576518     0.63248   -0.304854  0.00582569      0.6813   -0.446039
0.119918    0.634015    0.607793   -0.349884  0.00457291      0.7179   -0.446039
0.118719    0.605693    0.610105   -0.325088  0.00462328     0.70244   -0.446039
0.117532    0.639241    0.594183   -0.350896  0.00435843     0.72272   -0.446039
0.116356    0.672505     0.59839   -0.387998   0.0039986     0.73198   -0.446039
0.115193    0.707475    0.609105   -0.418015  0.00407255     0.73912   -0.446039
0.114041    0.672222    0.626266   -0.385094  0.00382583     0.73664   -0.446039
0.1129    0.642688    0.601239   -0.356916  0.00515784     0.72286   -0.446039
0.111771    0.683553    0.596086   -0.391696  0.00351457     0.73868   -0.446039
0.110654    0.683553    0.596086   -0.391696  0.00351457     0.73868   -0.446039
0.109547    0.706683    0.572174   -0.396115  0.00438634      0.7267   -0.446039
0.108452    0.674627    0.592446   -0.388113  0.00417235      0.7334   -0.446039
0.107367    0.710207    0.569817   -0.403427  0.00482653     0.72458   -0.446039
0.106294    0.682298    0.580697    -0.38461  0.00487409     0.73158   -0.446039
0.105231    0.676252    0.593334    -0.37832  0.00405783     0.73938   -0.446039
0.104178    0.649041     0.60221   -0.361516  0.00411742     0.72322   -0.446039
0.103137    0.695062    0.593877   -0.402702   0.0045044      0.7358   -0.446039
0.102105    0.681684    0.612595   -0.391932  0.00371259     0.74092   -0.446039
0.101084    0.681684    0.612595   -0.391932  0.00371259     0.74092   -0.446039
0.100073    0.683546    0.598419   -0.386902  0.00385685     0.73738   -0.446039
0.0990725    0.670368    0.579654   -0.382521  0.00437963     0.72828   -0.446039
0.0980818    0.710353    0.580342   -0.405448    0.003645     0.73082   -0.446039
0.097101    0.732322    0.568151   -0.411943  0.00406478     0.72036   -0.446039
0.09613    0.769526    0.562351   -0.419454  0.00328268     0.70002   -0.446039
0.0951687    0.769526    0.562351   -0.419454  0.00328268     0.70002   -0.446039
0.094217    0.813386    0.549902   -0.397761   0.0042054     0.65876   -0.446039
0.0932748    0.819643    0.567321   -0.415952  0.00328959     0.67722   -0.446039
0.0923421    0.798362    0.548387   -0.399369  0.00453936     0.67318   -0.446039
0.0914186    0.807164    0.571147   -0.426518  0.00340309     0.68748   -0.446039
0.0905044     0.78274    0.563323   -0.416976  0.00411825     0.69322   -0.446039
0.0895994    0.753428    0.554388    -0.40052  0.00409727      0.6939   -0.446039
0.0887034    0.745283    0.561014   -0.411887  0.00413771      0.7077   -0.446039
0.0878164    0.745283    0.561014   -0.411887  0.00413771      0.7077   -0.446039
0.0869382    0.729572    0.566929   -0.401899  0.00440043     0.71336   -0.446039
0.0860688      0.7075    0.580802   -0.409614  0.00418775      0.7311   -0.446039
0.0852081      0.7075    0.580802   -0.409614  0.00418775      0.7311   -0.446039
0.0843561      0.7075    0.580802   -0.409614  0.00418775      0.7311   -0.446039
0.0835125    0.685796      0.5996   -0.400729  0.00350461     0.73902   -0.446039
0.0826774    0.726535    0.585584   -0.418081  0.00310442     0.73274   -0.446039
0.0818506    0.725433    0.592985    -0.42089  0.00287856     0.73816   -0.446039
0.0810321    0.688283    0.577911   -0.393501  0.00462049     0.73198   -0.446039
0.0802218    0.718653    0.587009   -0.417943  0.00376602     0.73472   -0.446039
0.0794196    0.713626    0.568423   -0.401082   0.0047979     0.72582   -0.446039
0.0786254    0.707415    0.588233   -0.406699  0.00330462     0.73754   -0.446039
