Generation Loss_Best Loss_Average_Half
569 6222.59 6254.79
570 6222.59 6301.76
571 6222.59 6317.42
572 6222.59 6351.91
573 6222.59 6329.88
574 6222.59 6308.96
575 6222.59 6282.16
576 6222.59 6262.9
577 6222.59 6249.11
578 6222.59 6286.89
579 6222.59 6289.88
580 6222.59 6275.33
581 6222.59 6269.45
582 6222.59 6282.43
583 6222.59 6299.55
584 6222.59 6330.88
585 6222.59 6317.65
586 6222.59 6308.65
587 6222.59 6296.04
588 6222.59 6281.13
589 6222.59 6282.76
590 6222.59 6299.44
591 6222.59 6296.73
592 6222.59 6335.58
593 6222.59 6278.48
594 6222.59 6289.02
595 6222.59 6259.51
596 6222.59 6284.58
597 6222.59 6291.71
598 6222.59 6274.38
599 6222.59 6280.46
600 6222.59 6278.53
601 6222.59 6281.55
602 6222.59 6330.32
603 6222.59 6278.44
604 6222.59 6291.95
605 6222.59 6313.73
606 6222.59 6307.82
607 6222.59 6288.43
608 6222.59 6332.52
609 6222.59 6302.79
610 6222.59 6279.9
611 6222.59 6312.41
612 6222.59 6273.77
613 6222.59 6270.41
614 6222.59 6241.7
615 6222.59 6278.13
616 6222.59 6246.65
617 6222.59 6277.04
618 6222.59 6277.31
619 6222.59 6311
620 6222.59 6292.51
621 6222.59 6295.71
622 6222.59 6329.78
623 6222.59 6311.02
624 6222.59 6294.27
625 6222.59 6301.36
626 6222.59 6324.66
627 6222.59 6335.62
628 6222.59 6265.88
629 6222.59 6326.75
630 6222.59 6357.38
631 6222.59 6302.75
632 6222.59 6306.12
633 6222.59 6331.03
634 6222.59 6323.69
635 6222.59 6273.4
636 6222.59 6281.13
637 6222.59 6326.43
638 6222.59 6332.65
639 6222.59 6308.81
640 6222.59 6299.4
641 6222.59 6284.03
642 6222.59 6269.76
643 6222.59 6275.43
644 6222.59 6273.93
645 6222.59 6270.2
646 6222.59 6284.29
647 6222.59 6266.74
648 6222.59 6299.59
649 6222.59 6303.98
650 6222.59 6284.15
651 6222.59 6301.15
652 6222.59 6368.17
653 6222.59 6357.89
654 6222.59 6271.4
655 6222.59 6264.56
656 6222.59 6266.42
657 6222.59 6272
658 6222.59 6284.55
659 6222.59 6306.63
660 6222.59 6273.82
661 6222.59 6262.82
662 6222.59 6332.61
663 6222.59 6309.75
664 6222.59 6271.57
665 6222.59 6250.62
666 6222.59 6247.71
667 6222.59 6275.51
668 6222.59 6258.88
669 6222.59 6277.44
670 6222.59 6327.77
671 6222.59 6292
672 6222.59 6248.23
673 6222.59 6236.32
674 6222.59 6244.17
675 6222.59 6264.95
676 6222.59 6264.81
677 6222.59 6294.48
678 6222.59 6293.65
679 6222.59 6297.11
680 6222.59 6312.98
681 6222.59 6278.48
682 6222.59 6298.79
683 6222.59 6312.15
684 6222.59 6312.09
685 6222.59 6283.83
686 6222.59 6276.91
687 6222.59 6286.27
688 6222.59 6297.84
689 6222.59 6279.2
690 6222.59 6269.99
691 6222.59 6268.88
692 6222.59 6270.3
693 6222.59 6261.28
694 6222.59 6294.11
695 6222.59 6269.26
696 6222.59 6277.25
697 6222.59 6293.63
698 6222.59 6278.23
699 6222.59 6269.65
700 6222.59 6271.66
701 6222.59 6253.16
702 6222.59 6264.02
703 6222.59 6252.47
704 6222.59 6266.67
705 6222.59 6269.75
706 6222.59 6314.59
707 6222.59 6289.25
708 6222.59 6283.07
709 6222.59 6292.85
710 6222.59 6288.41
711 6222.59 6300.11
712 6222.59 6316.08
713 6222.59 6329.1
714 6222.59 6321.04
715 6222.59 6283.91
716 6222.59 6290.21
717 6222.59 6329.35
718 6222.59 6265.8
719 6222.59 6304.99
720 6222.59 6267.08
721 6222.59 6283.41
722 6222.59 6305.45
723 6222.59 6284.17
724 6222.59 6312.97
725 6222.59 6307.95
726 6222.59 6287.6
727 6222.59 6283.94
728 6222.59 6323.43
729 6222.59 6355.89
730 6222.59 6330.74
731 6222.59 6344.22
732 6222.59 6263.74
733 6222.59 6253.09
734 6222.59 6265.41
735 6222.59 6268.46
736 6222.59 6274.2
737 6222.59 6271.69
738 6222.59 6318.23
739 6222.59 6302.16
740 6222.59 6286.68
741 6222.59 6289.75
742 6222.59 6300.9
743 6222.59 6313.51
744 6222.59 6307.2
745 6222.59 6302.89
746 6222.59 6286.9
747 6222.59 6252.65
748 6222.59 6281.93
749 6222.59 6284.49
750 6222.59 6280.55
751 6222.59 6315.12
752 6222.59 6331.13
753 6222.59 6298.9
754 6222.59 6326.41
755 6222.59 6298.88
756 6222.59 6295.09
757 6222.59 6315.06
758 6222.59 6320.21
759 6222.59 6286.69
760 6222.59 6273.42
761 6222.59 6285.02
762 6222.59 6267.57
763 6222.59 6257.07
764 6222.59 6256.43
765 6222.59 6244.56
766 6222.59 6239.49
767 6222.59 6256.43
768 6222.59 6291.08
769 6222.59 6263.37
770 6222.59 6257.98
771 6222.59 6264.69
772 6222.59 6262.61
773 6222.59 6295.39
774 6222.59 6271.96
775 6222.59 6272.79
776 6222.59 6314.2
777 6222.59 6335.14
778 6222.59 6297.85
779 6222.59 6277.16
