Block   Block_Energy   Progressive_Avg   Progressive_Err   Acceptance     
375     -0.25383360    -0.29338090       0.06860554        0.5413         
376     -0.23877820    -0.29323568       0.06842299        0.5426         
377     -0.23877820    -0.29309123       0.06824141        0.5411         
378     -0.23877820    -0.29294755       0.06806078        0.5397         
379     -0.23877820    -0.29280462       0.06788112        0.5383         
380     -0.23877820    -0.29266245       0.06770240        0.5368         
381     -0.15621305    -0.29230431       0.06752542        0.5381         
382     -0.15621305    -0.29194805       0.06734936        0.5366         
383     -0.75043767    -0.29314515       0.06718395        0.5379         
384     -0.23901832    -0.29300420       0.06700891        0.5391         
385     0.48263337     -0.29098955       0.06686499        0.5403         
386     0.48263337     -0.28898535       0.06672165        0.5389         
387     0.48263337     -0.28699150       0.06657888        0.5375         
388     0.48263337     -0.28500793       0.06643668        0.5361         
389     0.53060242     -0.28291125       0.06629883        0.5373         
390     0.45876807     -0.28100951       0.06615596        0.5385         
391     0.45876807     -0.27911749       0.06601366        0.5371         
392     0.45876807     -0.27723513       0.06587195        0.5357         
393     0.45876807     -0.27536235       0.06573080        0.5344         
394     0.45876807     -0.27349908       0.06559023        0.5330         
395     0.33872413     -0.27194914       0.06544233        0.5342         
396     0.33872413     -0.27040704       0.06529507        0.5328         
397     -0.38787133    -0.27070292       0.06513107        0.5340         
398     0.52106482     -0.26871355       0.06499767        0.5352         
399     0.52106482     -0.26673416       0.06486477        0.5338         
400     0.52106482     -0.26476466       0.06473237        0.5325         
401     0.52106482     -0.26280499       0.06460047        0.5312         
402     0.52106482     -0.26085506       0.06446907        0.5299         
403     0.52106482     -0.25891481       0.06433816        0.5285         
404     0.51488799     -0.25699946       0.06420729        0.5297         
405     0.51488799     -0.25509357       0.06407690        0.5284         
406     0.04829556     -0.25434630       0.06392325        0.5296         
407     0.04829556     -0.25360271       0.06377033        0.5283         
408     0.04829556     -0.25286276       0.06361815        0.5270         
409     0.04829556     -0.25212643       0.06346668        0.5257         
410     0.46732781     -0.25037167       0.06333601        0.5268         
411     0.46732781     -0.24862544       0.06320584        0.5255         
412     0.46732781     -0.24688769       0.06307619        0.5243         
413     -0.43623263    -0.24734615       0.06292495        0.5254         
414     -0.43623263    -0.24780240       0.06277443        0.5242         
415     -0.43623263    -0.24825645       0.06262463        0.5229         
416     -0.06879216    -0.24782504       0.06247539        0.5240         
417     -0.22961341    -0.24778137       0.06232541        0.5252         
418     -0.28026076    -0.24785907       0.06217617        0.5263         
419     -0.81998726    -0.24922453       0.06204263        0.5274         
420     -0.26577117    -0.24926393       0.06189475        0.5286         
421     0.51773945     -0.24744207       0.06177443        0.5297         
422     0.51773945     -0.24562884       0.06165454        0.5284         
423     0.28095171     -0.24438397       0.06152120        0.5296         
424     0.28095171     -0.24314497       0.06138844        0.5283         
425     0.28095171     -0.24191180       0.06125624        0.5271         
426     0.28095171     -0.24068443       0.06112460        0.5258         
427     0.28095171     -0.23946279       0.06099352        0.5246         
428     0.42888611     -0.23790123       0.06087088        0.5257         
