Generation Loss_Best Loss_Average_Half
508 6365.24 6947.84
509 6365.24 7010.7
510 6365.24 6895.03
511 6365.24 6694.41
512 6365.24 6561.9
513 6365.24 6497.22
514 6365.24 6465.46
515 6365.24 6449.51
516 6365.24 6429.62
517 6365.24 6429.05
518 6365.24 6411.14
519 6365.24 6420.72
520 6365.24 6412.16
521 6365.24 6422.33
522 6365.24 6442.84
523 6365.24 6433.07
524 6365.24 6444.38
525 6365.24 6433.82
526 6365.24 6434.94
527 6365.24 6429.97
528 6365.24 6422.13
529 6365.24 6421.2
530 6365.24 6409.98
531 6365.24 6416.5
532 6365.24 6415.94
533 6365.24 6408.32
534 6365.24 6421.3
535 6365.24 6421.16
536 6365.24 6427.76
537 6365.24 6421.66
538 6365.24 6432.96
539 6365.24 6431.09
540 6365.24 6430.94
541 6365.24 6433.46
542 6365.24 6433
543 6365.24 6457.87
544 6365.24 6444.9
545 6365.24 6437.21
546 6365.24 6419.61
547 6365.24 6417.88
548 6365.24 6411.01
549 6365.24 6410.63
550 6365.24 6422.84
551 6365.24 6433.47
552 6365.24 6424.19
553 6365.24 6425.4
554 6365.24 6417.79
555 6365.24 6430.45
556 6365.24 6449.09
557 6365.24 6434.28
558 6365.24 6423.01
559 6365.24 6420.24
560 6365.24 6435.04
561 6365.24 6439.92
562 6365.24 6448.51
563 6365.24 6440.36
564 6365.24 6423.91
565 6365.24 6419.93
566 6365.24 6430.54
567 6365.24 6410.76
568 6365.24 6427.72
569 6365.24 6423.88
570 6365.24 6417.26
571 6365.24 6406.22
572 6365.24 6418.75
573 6365.24 6428.72
574 6365.24 6439.86
575 6365.24 6443.61
576 6365.24 6432.68
577 6365.24 6444.57
578 6365.24 6431.12
579 6365.24 6436.81
580 6365.24 6418.64
581 6365.24 6436.63
582 6365.24 6438.68
583 6365.24 6424.33
584 6365.24 6413.33
585 6365.24 6420.4
586 6365.24 6424.3
587 6365.24 6422.94
588 6365.24 6434.25
589 6365.24 6437.34
590 6365.24 6414.45
591 6365.24 6426.14
592 6365.24 6428.59
593 6365.24 6422.35
594 6365.24 6439.64
595 6365.24 6468.81
596 6365.24 6449.6
597 6365.24 6414.62
598 6365.24 6414.98
599 6365.24 6414.52
600 6365.24 6407.64
601 6365.24 6409.06
602 6365.24 6438.61
603 6365.24 6415.16
604 6365.24 6401.97
605 6365.24 6406.32
606 6365.24 6412.2
607 6365.24 6417.79
608 6365.24 6404.02
609 6365.24 6412.28
610 6365.24 6437.04
611 6365.24 6427.98
612 6365.24 6441.84
613 6365.24 6426.74
614 6365.24 6428.67
615 6365.24 6436.52
616 6365.24 6434.65
617 6365.24 6428.48
618 6365.24 6429.98
619 6365.24 6425.79
620 6365.24 6446.21
621 6365.24 6433.19
622 6365.24 6453.44
623 6365.24 6428.76
624 6365.24 6419.25
625 6365.24 6418.79
626 6365.24 6418.98
627 6365.24 6415.05
628 6365.24 6434.35
629 6365.24 6432.58
630 6365.24 6414.17
631 6365.24 6408.61
632 6365.24 6411.11
633 6365.24 6411.53
634 6365.24 6416.89
635 6365.24 6416.93
636 6365.24 6443.06
637 6365.24 6432.72
638 6365.24 6429.27
639 6365.24 6421.83
640 6365.24 6432.49
641 6365.24 6438.92
642 6365.24 6431.81
643 6365.24 6427.41
644 6365.24 6421.82
645 6365.24 6433.21
646 6365.24 6438.61
647 6365.24 6433.82
648 6365.24 6417.21
649 6365.24 6428.81
650 6365.24 6422.77
651 6365.24 6416.48
652 6365.24 6411.68
653 6365.24 6428.22
654 6365.24 6422.77
655 6365.24 6438.05
656 6365.24 6432.38
657 6365.24 6413.26
658 6365.24 6428.27
659 6365.24 6433.13
660 6365.24 6430.3
661 6365.24 6447.66
662 6365.24 6413.28
663 6365.24 6417.71
664 6365.24 6432.09
665 6365.24 6445.57
666 6365.24 6444.71
667 6365.24 6429.37
668 6365.24 6431.76
669 6365.24 6424.29
670 6365.24 6425.58
671 6365.24 6425.89
672 6365.24 6418
673 6365.24 6413.95
674 6365.24 6406.4
675 6365.24 6412.63
676 6365.24 6414.76
677 6365.24 6414.19
678 6365.24 6406.66
679 6365.24 6427.62
680 6365.24 6437.13
681 6365.24 6424.02
682 6365.24 6425.21
683 6365.24 6418.49
684 6365.24 6415.71
685 6365.24 6411.2
686 6365.24 6419.25
687 6365.24 6421.48
688 6365.24 6430.52
689 6365.24 6417.16
690 6365.24 6419.9
691 6365.24 6420.92
692 6365.24 6409.27
693 6365.24 6427.86
694 6365.24 6432.34
695 6365.24 6447.44
696 6365.24 6428.75
697 6365.24 6435.57
698 6365.24 6426.69
699 6365.24 6421.87
700 6365.24 6422.22
701 6365.24 6444.73
702 6365.24 6453.17
703 6365.24 6432.64
704 6365.24 6417.9
705 6365.24 6446.15
706 6365.24 6434.5
707 6365.24 6457.69
708 6365.24 6436.24
709 6365.24 6428.29
710 6365.24 6429.16
711 6365.24 6434.35
712 6365.24 6437.22
713 6365.24 6436.33
714 6365.24 6430.62
715 6365.24 6426.46
716 6365.24 6440.42
717 6365.24 6418.17
718 6365.24 6443.41
719 6365.24 6429.96
720 6365.24 6444.23
721 6365.24 6422.93
722 6365.24 6444.5
723 6365.24 6424.42
724 6365.24 6441.12
725 6365.24 6431.36
726 6365.24 6418.21
727 6365.24 6415.54
728 6365.24 6406.31
729 6365.24 6408.19
730 6365.24 6410.96
