#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         456    -5.38814    -5.61463   0.0185344
         457    -5.38612    -5.61413   0.0185006
         458    -5.38417    -5.61363    0.018467
         459    -5.38288    -5.61312   0.0184336
         460    -5.38107    -5.61262   0.0184004
         461    -5.37917    -5.61211   0.0183675
         462    -5.37765    -5.61161   0.0183347
         463    -5.37637     -5.6111   0.0183022
         464    -5.37441    -5.61059   0.0182698
         465    -5.37284    -5.61008   0.0182377
         466    -5.37167    -5.60956   0.0182057
         467     -5.3709    -5.60905   0.0181739
         468    -5.37009    -5.60854   0.0181423
         469     -5.3694    -5.60803   0.0181107
         470    -5.36854    -5.60752   0.0180794
         471    -5.36781    -5.60701   0.0180482
         472    -5.36723    -5.60651   0.0180171
         473     -5.3668      -5.606   0.0179861
         474    -5.36654    -5.60549   0.0179552
         475    -5.36644    -5.60499   0.0179245
         476     -5.3662    -5.60449   0.0178939
         477    -5.36642    -5.60399   0.0178633
         478    -5.36696    -5.60349   0.0178328
         479    -5.36734      -5.603   0.0178024
         480    -5.36845    -5.60251    0.017772
         481    -5.36953    -5.60203   0.0177417
         482    -5.37039    -5.60155   0.0177114
         483    -5.37148    -5.60107   0.0176811
         484    -5.37276     -5.6006   0.0176509
         485    -5.37376    -5.60013   0.0176207
         486    -5.37459    -5.59967   0.0175905
         487    -5.37553    -5.59921   0.0175604
         488     -5.3767    -5.59875   0.0175304
         489    -5.37748     -5.5983   0.0175003
         490    -5.37874    -5.59785   0.0174704
         491       -5.38    -5.59741   0.0174404
         492    -5.38004    -5.59697   0.0174106
         493    -5.38065    -5.59653   0.0173808
         494     -5.3806    -5.59609   0.0173511
         495    -5.38109    -5.59566   0.0173215
         496    -5.38105    -5.59522   0.0172919
         497    -5.38016    -5.59479   0.0172626
         498    -5.37948    -5.59436   0.0172333
         499    -5.37886    -5.59393   0.0172042
         500    -5.37767    -5.59349   0.0171752
         501    -5.37592    -5.59306   0.0171464
         502    -5.37422    -5.59262   0.0171178
         503    -5.37212    -5.59218   0.0170894
         504    -5.36977    -5.59174   0.0170612
         505    -5.36733     -5.5913   0.0170332
         506    -5.36497    -5.59085   0.0170054
         507    -5.36208     -5.5904   0.0169778
         508    -5.35854    -5.58994   0.0169506
         509    -5.35572    -5.58948   0.0169235
         510    -5.35184    -5.58902   0.0168967
         511    -5.34811    -5.58855   0.0168702
         512    -5.34426    -5.58807    0.016844
         513    -5.34047    -5.58759   0.0168181
         514    -5.33616     -5.5871   0.0167925
         515    -5.33226     -5.5866   0.0167672
         516    -5.32834     -5.5861   0.0167422
         517    -5.32369    -5.58559   0.0167175
         518    -5.31967    -5.58508   0.0166931
         519    -5.31556    -5.58456    0.016669
         520    -5.31166    -5.58404   0.0166452
         521    -5.30832    -5.58351   0.0166217
         522    -5.30477    -5.58297   0.0165984
         523    -5.30148    -5.58244   0.0165754
         524    -5.29786    -5.58189   0.0165526
         525    -5.29451    -5.58135   0.0165302
         526    -5.29097    -5.58079   0.0165079
         527    -5.28769    -5.58024    0.016486
         528    -5.28438    -5.57968   0.0164643
         529    -5.28147    -5.57911   0.0164428
         530    -5.27897    -5.57855   0.0164215
         531    -5.27611    -5.57798   0.0164005
         532     -5.2732     -5.5774   0.0163797
         533    -5.27068    -5.57683    0.016359
         534    -5.26841    -5.57625   0.0163386
         535    -5.26623    -5.57567   0.0163183
         536    -5.26431    -5.57509   0.0162982
         537     -5.2619    -5.57451   0.0162783
         538    -5.25992    -5.57392   0.0162585
