# BLOCK:    DISTANCE:    GOFR_ISTANT:      CUM_AVE_GOFR:        ERROR:
           7     1.02599     2.31392     2.33469   0.0116021
           7     1.05164      2.5581      2.5646  0.00616497
           7     1.07728      2.5417     2.54302  0.00497664
           7     1.10293     2.45964     2.41075   0.0101284
           7     1.12858     2.20818     2.21283  0.00734448
           7     1.15423     1.98955      1.9798  0.00397157
           7     1.17988     1.78511     1.77069  0.00522515
           7     1.20553     1.58597     1.57249  0.00589274
           7     1.23118     1.39758     1.39276  0.00530105
           7     1.25683     1.24893     1.25367  0.00402472
           7     1.28248     1.11311     1.12687  0.00385741
           7     1.30813     1.02783     1.02481  0.00365833
           7     1.33378    0.955745    0.939146  0.00354293
           7     1.35943    0.877791    0.868872  0.00325467
           7     1.38508    0.807324    0.809204  0.00323628
           7     1.41073    0.770237      0.7713  0.00326201
           7     1.43638    0.713397    0.728198  0.00426906
           7     1.46203     0.69253    0.703402  0.00285949
           7     1.48768    0.672502    0.683629  0.00448925
           7     1.51333    0.664394    0.667653  0.00440159
           7     1.53898    0.654631    0.663309  0.00315039
           7     1.56463    0.665493    0.663456  0.00227409
           7     1.59028    0.676783    0.670104  0.00210857
           7     1.61593    0.687498    0.684369  0.00231734
           7     1.64158    0.690853    0.692667   0.0020459
           7     1.66723    0.724877    0.717182  0.00274705
           7     1.69288    0.753866    0.750509  0.00319399
           7     1.71853    0.789865     0.78009   0.0036599
           7     1.74418     0.81657     0.81658  0.00311671
           7     1.76983    0.850054    0.853492  0.00386012
           7     1.79547    0.912598    0.897218  0.00369017
           7     1.82112    0.940331    0.945084  0.00318509
           7     1.84677    0.974401    0.982337  0.00323881
           7     1.87242     1.03221     1.03064  0.00394865
           7     1.89807     1.06307     1.06535   0.0044665
           7     1.92372     1.10484      1.1028   0.0048096
           7     1.94937     1.14178     1.14147  0.00374452
           7     1.97502     1.15715     1.16688  0.00340786
           7     2.00067     1.20484     1.18763  0.00431495
           7     2.02632     1.20743     1.21224  0.00323306
           7     2.05197     1.21178     1.21814  0.00261126
           7     2.07762     1.20993      1.2187  0.00189247
           7     2.10327     1.22084     1.21188  0.00275458
           7     2.12892     1.18041     1.19641  0.00331257
