# BLOCK     VELOCITY     AVE_POFV     CUM_AVG_POFV     ERROR
          11    0.839047    0.735799    0.746036  0.00495575
          11    0.978888    0.820309    0.785367  0.00709919
          11     1.11873      0.7454    0.762164  0.00875708
          11     1.25857    0.669278    0.706333  0.00771662
          11     1.39841     0.56614    0.601159  0.00604698
          11     1.53825    0.483551    0.497586  0.00552739
          11     1.67809    0.372093    0.386271  0.00528001
          11     1.81794    0.279153    0.292142  0.00472414
          11     1.95778    0.215544    0.205833  0.00394263
          11     2.09762    0.136773    0.138726  0.00269918
          11     2.23746     0.10029   0.0891423  0.00220791
          11      2.3773   0.0618206   0.0520592  0.00168525
          11     2.51714   0.0362404   0.0304017  0.00225206
          11     2.65698   0.0240793   0.0178373  0.00147149
          11     2.79682  0.00810002  0.00923366 0.000910366
          11     2.93666   0.0043259  0.00502815 0.000838703
          11     3.07651  0.00249401  0.00231142 0.000454778
          11     3.21635  0.00176567  0.00129014 0.000418856
          11     3.35619  0.00271472 0.000525689 0.000229189
          11     3.49603           0 0.000230741 0.000111439
          11     3.63587           0  0.00014647 8.12683e-05
          11     3.77571           0 0.000104335 8.07125e-05
          11     3.91555           0 3.81225e-05 3.05732e-05
          11     4.05539           0 7.02256e-05  5.9033e-05
          12           0    0.010903  0.00972223 0.000576944
          12    0.139841   0.0939779   0.0768674  0.00181759
          12    0.279682    0.230177    0.205383  0.00369698
          12    0.419524    0.387808    0.364293  0.00439906
          12    0.559365    0.573203    0.526696  0.00681443
          12    0.699206    0.684639    0.651193  0.00586089
          12    0.839047    0.736064    0.745205  0.00461192
          12    0.978888    0.747078    0.782176  0.00718897
          12     1.11873    0.721387    0.758766  0.00866156
          12     1.25857    0.672677    0.703528  0.00756612
          12     1.39841    0.604213    0.601413  0.00554842
          12     1.53825    0.493417    0.497239  0.00507769
          12     1.67809    0.393414    0.386866  0.00487345
          12     1.81794    0.263085    0.289721  0.00491199
          12     1.95778    0.186102    0.204189  0.00394207
          12     2.09762    0.128232    0.137851  0.00261206
          12     2.23746   0.0904024   0.0892473  0.00202641
          12      2.3773    0.058841   0.0526244  0.00163683
          12     2.51714   0.0375205   0.0309949   0.0021411
          12     2.65698   0.0139267   0.0175114  0.00138448
          12     2.79682  0.00997604  0.00929552 0.000836601
          12     2.93666  0.00670955  0.00516827 0.000780427
          12     3.07651  0.00231744  0.00231193  0.00041688
          12     3.21635   0.0022733  0.00137207 0.000391882
          12     3.35619 0.000684198 0.000538898  0.00021047
          12     3.49603  0.00024278 0.000231744 0.000102157
          12     3.63587 0.000308993 0.000160014 7.56161e-05
          12     3.77571 0.000331063 0.000123229 7.61658e-05
          12     3.91555 0.000397276 6.80519e-05 4.00818e-05
          12     4.05539 0.000662127 0.000119551 7.18227e-05
          13           0   0.0146109   0.0100983 0.000643555
          13    0.139841   0.0807353   0.0771649  0.00170195
          13    0.279682    0.214441    0.206079  0.00347764
          13    0.419524    0.365119    0.364356  0.00406113
          13    0.559365    0.570466    0.530063  0.00707329
          13    0.699206    0.676936    0.653173  0.00573485
          13    0.839047    0.758952    0.746263   0.0043767
          13    0.978888    0.748115    0.779556  0.00709738
          13     1.11873    0.738823    0.757232     0.00813
          13     1.25857    0.708652    0.703922  0.00699437
          13     1.39841    0.574439    0.599339  0.00549593
          13     1.53825    0.499972    0.497449  0.00469144
          13     1.67809    0.389397    0.387061  0.00450246
          13     1.81794    0.289151    0.289677  0.00453434
          13     1.95778    0.208548    0.204524  0.00365307
          13     2.09762    0.139554    0.137982  0.00241442
          13     2.23746   0.0703841   0.0877963  0.00233289
          13      2.3773   0.0388006    0.051561  0.00182391
          13     2.51714   0.0248077    0.030519  0.00202861
          13     2.65698   0.0139267   0.0172357  0.00130515
          13     2.79682  0.00977741  0.00933259 0.000773068
          13     2.93666  0.00759239  0.00535474 0.000742337
          13     3.07651  0.00567222  0.00257041  0.00045799
          13     3.21635 0.000949048  0.00133953 0.000363086
          13     3.35619 0.000353134 0.000524608 0.000194764
          13     3.49603 0.000794552 0.000275037 0.000103064
          13     3.63587           0 0.000147705 7.07942e-05
          13     3.77571           0  0.00011375 7.08943e-05
          13     3.91555           0 6.28172e-05 3.73389e-05
          13     4.05539           0 0.000110354  6.6884e-05
          14           0   0.0133529   0.0103308 0.000638195
          14    0.139841   0.0800511   0.0773711  0.00159282
          14    0.279682    0.205899    0.206066  0.00322926
          14    0.419524    0.369158    0.364699   0.0037855
          14    0.559365    0.502709    0.528109  0.00683259
          14    0.699206    0.698279    0.656395  0.00616416
          14    0.839047    0.784598    0.749001  0.00484553
          14    0.978888    0.798039    0.780876   0.0067121
          14     1.11873    0.764447    0.757747  0.00756561
          14     1.25857     0.67729     0.70202  0.00674851
          14     1.39841    0.606265    0.599833  0.00512558
          14     1.53825    0.459097     0.49471  0.00509375
          14     1.67809    0.365671    0.385533  0.00443251
          14     1.81794    0.271031    0.288345  0.00440173
          14     1.95778    0.187581    0.203314  0.00358701
          14     2.09762     0.14185    0.138258  0.00225771
          14     2.23746   0.0955449   0.0883498  0.00223095
          14      2.3773   0.0553097   0.0518288  0.00171317
          14     2.51714   0.0354238   0.0308693  0.00191372
          14     2.65698   0.0180319   0.0172925  0.00121316
          14     2.79682   0.0118962  0.00951571 0.000739218
          14     2.93666  0.00478938  0.00531436 0.000690411
          14     3.07651  0.00278093  0.00258545 0.000425524
          14     3.21635  0.00099319  0.00131479 0.000337993
          14     3.35619 0.000662127 0.000534431   0.0001811
          14     3.49603 0.000220709 0.000271157 9.57757e-05
          14     3.63587           0 0.000137155  6.6519e-05
          14     3.77571           0 0.000105625 6.62944e-05
          14     3.91555           0 5.83302e-05 3.49404e-05
          14     4.05539           0 0.000102472 6.25694e-05
          15           0   0.0150744    0.010647 0.000669433
          15    0.139841   0.0937792    0.078465  0.00182397
          15    0.279682    0.213801    0.206582  0.00305486
          15    0.419524    0.367149    0.364863  0.00353666
          15    0.559365    0.486023    0.525303  0.00692925
          15    0.699206    0.618669     0.65388  0.00624526
          15    0.839047    0.763984        0.75   0.0046243
          15    0.978888    0.802233      0.7823  0.00641386
          15     1.11873    0.760408    0.757925  0.00706331
          15     1.25857    0.679916    0.700546   0.0064575
          15     1.39841    0.611496    0.600611  0.00484249
          15     1.53825    0.501473     0.49516  0.00477408
          15     1.67809    0.404317    0.386785  0.00431027
          15     1.81794    0.273083    0.287328  0.00422424
          15     1.95778    0.201353    0.203183  0.00335026
          15     2.09762     0.14686    0.138832   0.0021788
          15     2.23746   0.0919915   0.0885926  0.00209539
          15      2.3773   0.0498361   0.0516959   0.0016041
          15     2.51714   0.0362404   0.0312274  0.00181933
          15     2.65698   0.0164649   0.0172374  0.00113354
          15     2.79682  0.00584879  0.00927125 0.000729239
          15     2.93666  0.00657713  0.00539854 0.000649496
          15     3.07651  0.00315614  0.00262349 0.000398853
          15     3.21635  0.00123597  0.00130954 0.000315501
          15     3.35619           0 0.000498802 0.000172496
          15     3.49603           0  0.00025308 9.10807e-05
          15     3.63587           0 0.000128011 6.27097e-05
          15     3.77571           0 9.85833e-05 6.22476e-05
          15     3.91555           0 5.44415e-05 3.28267e-05
          15     4.05539           0 9.56405e-05 5.87698e-05
